Species Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
Colletogloeopsis nubilosum,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Kirramyces,Kirramyces nubilosus
Colletogloeopsis stellenboschiana,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria stellenboschiana
Colletogloeopsis zuluensis,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria zuluensis
Colletogloeum glochidiicola,Fungi,Ascomycota,Sordariomycetes,Phyllachorales,Phyllachoraceae,Phyllachora,Phyllachora glochidiicola
Colletogloeum nubilosum,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Kirramyces,Kirramyces nubilosus
Colletotrichella periclymeni,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Kabatia,Kabatia periclymeni
Colletotrichopsis graminicola,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum graminicola
Colletotrichum agaves,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum agaves
Colletotrichum annonicola,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
Colletotrichum antirrhini,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum atramentarium,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum azaleae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum bakeri,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum dematium
Colletotrichum brachysporum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
Colletotrichum brassicae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum dematium
Colletotrichum cajani,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum camelliae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum cereale,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum cereale
Colletotrichum chaetostromum,Fungi,Ascomycota,Leotiomycetes,Helotiales,Ploettnerulaceae,Excipula,Excipula chaetostroma
Colletotrichum chardonianum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
Colletotrichum coffeophilum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
Colletotrichum commelinae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum crotalariae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum cyclamenae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum dioscoreae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum dioscoreae
Colletotrichum elasticae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum elasticae
Colletotrichum exiguum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
Colletotrichum falcatum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum falcatum
Colletotrichum foliicola,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum glochidiicola,Fungi,Ascomycota,Sordariomycetes,Phyllachorales,Phyllachoraceae,Phyllachora,Phyllachora glochidiicola
Colletotrichum gloeosporioides,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
Colletotrichum graminicola,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum graminicola
Colletotrichum intermedium,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
Colletotrichum ipomoeae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum iresines,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
Colletotrichum kruegerianum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum lagenaria,Fungi,Ascomycota,Leotiomycetes,Helotiales,Drepanopezizaceae,Gloeosporium,Gloeosporium orbiculare
Colletotrichum leguminum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum leguminis
Colletotrichum lini,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum linicola
Colletotrichum lysimachiae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum dematium
Colletotrichum melongenae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum metake,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum falcatum
Colletotrichum nicotianae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tabacum
Colletotrichum nobile,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,
Colletotrichum oligochaetum,Fungi,Ascomycota,Leotiomycetes,Helotiales,Drepanopezizaceae,Gloeosporium,Gloeosporium orbiculare
Colletotrichum opuntiae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum passiflorae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
Colletotrichum peregrinum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
Colletotrichum periclymeni,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Kabatia,Kabatia periclymeni
Colletotrichum phomoides,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum phormii,Fungi,Ascomycota,Leotiomycetes,Helotiales,Drepanopezizaceae,Gloeosporium,Gloeosporium phormii
Colletotrichum piperatum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum agaves
Colletotrichum primulae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum pucciniophilum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum dematium
Colletotrichum sanguisorbae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum dematium
Colletotrichum sativum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum destructivum
Colletotrichum spinaciae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum dematium
Colletotrichum stevensii,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum stevensii
Colletotrichum vanillae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes
Colletotrichum volutella,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum dematium
Colletotrichum xanthii,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
Colletotrichum acutatum f. pineum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum acutatum
Colletotrichum capsici f. cyamopsidicola,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum truncatum
Colletotrichum coffeanum var. virulans,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coffeanum
Colletotrichum dematium f. circinans,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum circinans
Colletotrichum dematium f. spinaciae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum dematium
Colletotrichum dematium f. truncatum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum truncatum
Colletotrichum dematium var. minus,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum dematium
Colletotrichum gloeosporioides var. hederae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum hederae
Colletotrichum montemartinii f. rohdeae,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
Colletotrichum kahawae subsp. cigarro,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum cigarro
Colletotrichum caulicolum,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum cattleyicola
Collolechia subradiata,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Placynthiaceae,Collolechia,
Collonema punctiforme,Fungi,Ascomycota,,,,Oncosporella,Oncosporella punctiformis
Collybia aerina,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Callistosporiaceae,Xerophorus,Xerophorus olivascens
Collybia albida,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Lactocollybia,Lactocollybia albida
Collybia albidula,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Fayodia,Fayodia albidula
Collybia albuminosa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Macrolepiota,Macrolepiota albuminosa
Collybia alliacea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,Lentinula boryana
Collybia alphitophylla,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chamaemyces,Chamaemyces alphitophyllus
Collybia alpina,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus alpinus
Collybia amanitae,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Collybia,Collybia cirrhata
Collybia ambusta,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe ambusta
Collybia amethystina,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,Laccaria amethystina
Collybia anthracophila,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Collybia aquosa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus aquosus
Collybia asema,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Rhodocollybia,Rhodocollybia asema
Collybia baeosperma,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe baeosperma
Collybia benoistii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus benoistii
Collybia bibulosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Rhodocollybia,Rhodocollybia butyracea
Collybia boryana,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,Lentinula boryana
Collybia boudieri,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Myochromella,Myochromella boudieri
Collybia bresadolae,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus erythropus
Collybia bubalina,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma bubalinum
Collybia butyracea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Rhodocollybia,Rhodocollybia butyracea
Collybia campanella,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Crinipellis,Crinipellis campanella
Collybia carbonaria,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe anthracophila
Collybia chrysopepla,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Cyptotrama,Cyptotrama chrysopepla
Collybia cinnamomea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Physocystidium,Physocystidium cinnamomeum
Collybia cirrata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Collybia,Collybia cirrhata
Collybia collina,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius,Marasmius collinus
Collybia colorea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Callistosporiaceae,Callistosporium,Callistosporium luteo-olivaceum
Collybia confluens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Collybiopsis,Collybiopsis confluens
Collybia confusa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe confusa
Collybia contorta,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus fusipes
Collybia costesii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Cyptotrama,Cyptotrama costesii
Collybia crassipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus fusipes
Collybia cycadicola,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Lactocollybia,Lactocollybia cycadicola
Collybia delicatella,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Hemimycena,Hemimycena lactea
Collybia dryophila,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus dryophilus
Collybia elaeodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Collybia,
Collybia eradicata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Hymenopellis,Hymenopellis eradicata
Collybia erosa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Sagaranella,
Collybia erythropus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus erythropus
Collybia esculenta,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Strobilurus,Strobilurus esculentus
Collybia eurhiza,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces eurrhizus
Collybia eustygia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,Lyophyllum eustygium
Collybia exsculpta,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus exsculptus
Collybia extuberans,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus ocior
Collybia fagiphila,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus fagiphilus
Collybia familia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Clitocybula,Clitocybula familia
Collybia ferruginella,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe ferruginella
Collybia floccipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Porotheleaceae,Pseudohydropus,Pseudohydropus floccipes
Collybia fodiens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Rhodocollybia,Rhodocollybia fodiens
Collybia friesii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Baeospora,Baeospora myosura
Collybia fulvipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Xeromphalina,Xeromphalina fulvipes
Collybia funicularis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus ocior
Collybia fusipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus fusipes
Collybia fusispora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe fusispora
Collybia gibberosa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Sagaranella,Sagaranella gibberosa
Collybia globularis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius,Marasmius wynneae
Collybia grammocephala,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Megacollybia,Megacollybia platyphylla
Collybia griseospora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus griseosporus
Collybia hariolorum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus hariolorum
Collybia heimii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Callistosporiaceae,Callistosporium,Callistosporium heimii
Collybia humillima,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Marasmiellus,Marasmiellus humillimus
Collybia hygrophoroides,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Caulorhiza,Caulorhiza hygrophoroides
Collybia hymenocephala,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Collybia impexa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe impexa
Collybia impudica,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus impudicus
Collybia incomis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Callistosporiaceae,Pseudolaccaria,Pseudolaccaria pachyphylla
Collybia infumata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,Lyophyllum infumatum
Collybia inodora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus inodorus
Collybia inolens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Myochromella,Myochromella inolens
Collybia ixodes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,Lentinula ixodes
Collybia kuehneriana,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus erythropus
Collybia laccata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,Laccaria laccata
Collybia lacerata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Clitocybula,Clitocybula lacerata
Collybia lachnocephala,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Cyptotrama,Cyptotrama lachnocephala
Collybia lacrimosa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Lactocollybia,Lactocollybia lacrimosa
Collybia lancipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus fusipes
Collybia langei,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Clitocybe,Clitocybe favrei
Collybia lenta,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Leucoinocybe,Leucoinocybe lenta
Collybia leucomyosotis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Sphagnurus,Sphagnurus paluster
Collybia leucophaeata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Calocybe,Calocybe gangraenosa
Collybia longipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Xerula,Xerula pudens
Collybia luteifolia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus ocior
Collybia luteo-olivacea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Callistosporiaceae,Callistosporium,Callistosporium luteo-olivaceum
Collybia luxurians,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Collybiopsis,Collybiopsis luxurians
Collybia maculata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Rhodocollybia,Rhodocollybia maculata
Collybia marasmiiformis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Lactocollybia,Lactocollybia marasmiiformis
Collybia marasmioides,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus erythropus
Collybia mucida,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Mucidula,Mucidula mucida
Collybia murina,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe murina
Collybia myosura,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Baeospora,Baeospora myosura
Collybia myriadophylla,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Baeospora,Baeospora myriadophylla
Collybia nameko,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota nameko
Collybia neovelutipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Heimiomyces,Heimiomyces neovelutipes
Collybia nitellina,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Rhodophana,Rhodophana nitellina
Collybia novae-zelandiae,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,Lentinula novae-zelandiae
Collybia obscura,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus fuscopurpureus
Collybia ocior,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus ocior
Collybia oedematopoda,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus fusipes
Collybia oreades,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius,Marasmius oreades
Collybia oreadoides,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus oreadoides
Collybia palmarum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Callistosporiaceae,Callistosporium,Callistosporium palmarum
Collybia palustris,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Sphagnurus,Sphagnurus paluster
Collybia peronata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Collybiopsis,Collybiopsis peronata
Collybia phaeopodia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Melanoleuca,Melanoleuca phaeopodia
Collybia pithya,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Hemimycena,Hemimycena pithya
Collybia platyphylla,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Megacollybia,Megacollybia platyphylla
Collybia plexipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Sagaranella,Sagaranella tylicolor
Collybia praemultifolia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Callistosporiaceae,Callistosporium,Callistosporium praemultifolium
Collybia pseudoclusilis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Gamundia,Gamundia striatula
Collybia pseudoclusis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Gamundia,Gamundia striatula
Collybia pseudoradicata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Porotheleaceae,Hydropodia,Hydropodia subalpina
Collybia pudens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Xerula,Xerula pudens
Collybia putida,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe putida
Collybia putidella,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe putida
Collybia putilla,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus putillus
Collybia racemosa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Dendrocollybia,Dendrocollybia racemosa
Collybia radicans,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Hymenopellis,Hymenopellis radicata
Collybia rancida,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe rancida
Collybia raphanipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Hymenopellis,Hymenopellis raphanipes
Collybia readii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Calocybe,Calocybe carnea
Collybia rheicolor,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Xeromphalina,Xeromphalina tenuipes
Collybia rimutaka,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Collybiopsis,Collybiopsis rimutaka
Collybia rubescentifolia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Callistosporiaceae,Callistosporium,Callistosporium luteo-olivaceum
Collybia rugulosiceps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena galericulata
Collybia sacchari,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius,Marasmius sacchari
Collybia sclerotipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Collybia,Collybia tuberosa
Collybia semihirtipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus semihirtipes
Collybia semitalis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,Lyophyllum semitale
Collybia setulosa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Xerula,Xerula setulosa
Collybia shiitake,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,Lentinula edodes
Collybia stephanocystis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Strobilurus,Strobilurus stephanocystis
Collybia stevensoniae,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Collybiopsis,Collybiopsis readiae
Collybia stipitaria,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Crinipellis,Crinipellis scabella
Collybia stridula,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Melanoleuca,Melanoleuca stridula
