Species Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
Stereum complicatum var. complicatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum complicatum
Stereum diaphanum var. sowerbyi,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Cotylidia,Cotylidia pannosa
Stereum elegans,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Podoscypha,Podoscypha elegans
Stereum frustulatum var. subpileatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Xylobolus,Xylobolus subpileatus
Stereum hirsutum f. fasciatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum ostrea
Stereum hirsutum var. complicatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum complicatum
Stereum hirsutum var. cristulatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum gausapatum
Stereum hirsutum var. rameale,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum hirsutum
Stereum hirsutum var. subcostatum,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Stereophlebia,Stereophlebia tuberculata
Stereum hirsutum var. vellereum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum hirsutum
Stereum hydrophorum var. hylocrater,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Panaceae,Cymatoderma,Cymatoderma caperatum
Stereum lilacinum var. vorticosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cyphellaceae,Chondrostereum,Chondrostereum purpureum
Stereum murrayi f. tuberculosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cystostereaceae,Cystostereum,Cystostereum murrayi
Stereum murrayi var. murrayi,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cystostereaceae,Cystostereum,Cystostereum murrayi
Stereum murrayi var. tuberculosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cystostereaceae,Cystostereum,Cystostereum murrayi
Stereum ochroleucum subsp. arcticum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum subtomentosum
Stereum odoratum var. alni,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Baltazaria,Baltazaria galactina
Stereum ostrea f. lobatum,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum lobatum
Stereum repandum var. lusitanicum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pterulaceae,Adustomyces,Adustomyces lusitanicus
